OTU	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
OTU783	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	18
OTU794	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0
OTU798	0	163	140	207	141	216	541	376	193	15	19	21	23	1	0	74	25	49
OTU801	0	15	17	18	21	1	0	0	0	13	11	6	17	4	3	0	0	0
OTU802	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	7	10	3
OTU807	0	0	1	1	0	0	0	0	0	1	1	0	1	2	0	4	9	10
OTU808	0	0	2	0	0	5	5	9	2	2	5	14	5	9	10	0	8	2
OTU811	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	4	15	18
OTU818	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU842	0	3	15	11	4	18	28	31	10	0	4	1	2	0	2	2	4	0
OTU870	63	5	11	0	2	0	0	0	3	18	5	8	9	2	1	0	2	4
OTU872	13	0	0	0	0	0	0	0	0	4	0	6	0	1	0	0	0	0
OTU873	18	0	0	0	3	0	0	1	0	0	1	0	2	0	0	3	0	0
OTU876	34	0	0	0	0	0	0	0	0	4	3	0	3	1	0	0	0	0
OTU893	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU894	0	2	1	0	3	2	1	1	2	2	0	2	2	0	0	46	47	34
OTU901	0	144	186	219	153	292	805	551	246	100	49	138	92	107	161	232	163	270
OTU905	6	25	35	25	13	19	33	33	17	11	11	17	22	1	3	4	5	0
OTU907	0	123	138	142	98	11	36	34	22	42	23	31	29	11	13	19	15	8
OTU910	0	0	1	0	0	8	0	0	3	2	1	0	1	0	0	10	28	20
OTU912	0	2	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU920	0	5	3	2	0	0	0	0	0	1	1	0	2	0	0	4	7	5
OTU925	14	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU927	0	0	0	0	0	0	0	0	0	2	4	0	5	1	0	2	0	0
OTU955	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	67	97
OTU960	0	0	0	0	0	12	31	21	12	0	1	2	1	0	0	2	6	4
OTU965	0	1	2	4	3	0	0	0	0	3	4	3	4	8	13	10	8	9
OTU971	0	0	1	0	1	0	2	2	0	3	6	4	3	0	2	5	0	2
OTU1001	7	1	0	0	0	0	0	0	0	1	3	0	2	0	0	2	0	1
OTU1009	1	6	4	14	15	92	255	202	95	2	4	6	3	0	0	120	63	110
OTU1018	0	0	1	0	0	0	0	0	0	3	3	1	0	0	0	9	0	5
OTU1022	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1031	9	0	0	0	0	0	4	0	0	0	0	7	2	0	0	0	0	0
OTU1039	688	3	9	9	33	2	9	2	3	74	60	56	39	8	2	7	8	19
OTU1062	8	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0
OTU1078	1	10	9	8	0	0	0	0	15	8	14	4	15	10	6	73	69	46
OTU1085	31	0	0	0	0	0	0	0	0	16	0	2	0	0	0	0	0	0
OTU1094	0	39	32	56	35	17	43	24	7	9	1	30	21	57	97	8	5	8
OTU1097	0	0	0	0	0	0	1	2	1	4	0	0	0	4	3	3	3	2
OTU1099	0	0	0	0	1	0	0	5	0	0	4	0	4	2	0	16	0	4
OTU1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	21
OTU1107	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	23	0
OTU1112	9	0	3	3	3	0	0	2	0	5	7	6	7	0	3	1	0	1
OTU1133	1	0	0	0	0	0	0	4	2	0	0	0	1	0	0	2	1	2
OTU1136	0	13	7	25	19	0	0	0	0	90	105	60	67	0	0	0	0	0
OTU1137	0	0	0	2	0	0	0	0	1	5	3	3	5	0	1	0	2	0
OTU1144	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	4	3	4
OTU1152	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
OTU1158	0	1	0	0	1	2	3	2	0	1	3	0	2	0	0	0	0	0
OTU1163	0	0	5	6	3	6	14	21	0	0	3	16	0	4	4	0	0	0
OTU1168	0	2	0	0	0	1	1	0	0	1	2	1	0	19	19	0	0	1
OTU1169	0	1	1	0	5	0	4	2	0	14	11	11	23	0	0	19	8	11
