OTU	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
OTU274	0	0	0	1	2	0	0	0	0	0	3	1	2	1	1	1	1	0
OTU277	0	0	0	0	0	0	1	1	1	1	1	2	2	1	3	0	4	3
OTU289	0	6	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU294	0	0	1	2	3	1	0	1	0	8	7	4	4	0	0	1	0	1
OTU296	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
OTU297	0	0	0	0	0	183	440	336	114	0	14	6	3	12	28	106	60	105
OTU320	0	59	86	88	65	1	5	2	3	239	228	177	299	4	4	34	23	22
OTU341	0	58	71	91	41	36	74	66	32	11	21	18	28	8	2	23	15	15
OTU342	0	0	0	0	0	4	0	8	5	0	0	0	0	0	0	0	0	0
OTU344	1	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0
OTU347	0	19	33	21	20	2	3	2	1	20	11	6	20	4	2	0	2	2
OTU348	0	2	7	4	4	2	0	2	1	1	1	0	2	0	0	2	7	3
OTU350	0	22	6	18	3	4	0	0	3	4	4	5	13	0	2	7	9	12
OTU358	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
OTU361	0	0	0	0	0	1	0	0	0	4	0	8	0	0	0	0	0	1
OTU366	0	2	5	7	6	0	0	0	0	0	0	0	1	0	0	2	0	4
OTU368	0	4	4	14	10	0	0	0	0	18	2	0	0	0	0	0	4	2
OTU373	0	10	17	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU379	0	1	1	0	5	0	0	0	0	5	0	1	1	0	0	0	0	0
OTU387	0	24	38	32	21	5	6	7	3	10	10	6	9	1	2	9	13	10
OTU391	0	11	3	12	8	1	0	0	1	4	8	5	2	2	1	11	17	20
OTU399	0	1	0	1	0	0	0	0	1	0	0	2	1	3	3	0	3	0
OTU408	0	0	0	0	2	0	0	2	0	1	1	0	0	6	5	0	0	0
OTU418	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	2	0	18
OTU423	0	0	0	0	0	0	0	0	0	0	1	1	0	21	28	8	9	14
OTU426	0	0	2	2	1	1	4	4	2	0	0	2	0	0	1	1	3	0
OTU428	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	25	32	23
OTU433	0	2	2	0	0	0	0	0	0	14	9	18	17	3	2	1	0	3
OTU438	0	0	0	2	0	2	2	1	3	2	2	1	0	2	5	29	24	33
OTU445	0	0	3	3	0	30	14	20	19	2	3	8	6	1	0	1	1	1
OTU462	0	11	7	10	8	1	0	1	3	2	0	3	2	3	2	1	0	0
OTU469	0	4	0	0	2	0	0	0	1	5	5	0	6	4	0	0	0	0
OTU471	0	0	0	0	0	2	7	4	4	0	2	0	0	1	0	0	0	0
OTU472	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	14
