Category	Acanthamunnopsis1	Acanthamunnopsis2	Acanthamunnopsis3	Acanthamunnopsis4	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Munneurycope1	Munneurycope2	Munneurycope3	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Poeobius4	Poeobius5	Poeobius6	Eusergestes1	Eusergestes2	Eusergestes3	Eusergestes4	Tomopteris1	Tomopteris2	Vampyroteuthis1	Vampyroteuthis2
"Fatty Acid, Lipid and Steroid Metabolism"	17348	13687	5231	4350	4351	4152	4352	6458	4343	1946	3378	4338	8144	2872	3316	6711	12946	8918	10601	7508	6979	4347	5980	7170	10741	9596	4560	8272	8224	4991	5064	5173
"Cofactor and Vitamin Metabolism"	24932	21100	8552	7845	12208	11938	13054	16497	14076	6502	9521	13516	21970	11852	7459	17454	29833	23547	26756	27039	27117	9453	10289	11256	24845	24159	10170	24342	12634	8181	8304	8232
"One Carbon Pool by Folate"	1938	1964	661	639	1020	944	962	1400	844	385	624	767	1580	607	501	1266	2198	1772	1926	1437	1405	678	744	951	1655	1547	687	1254	969	768	676	558
"Choline Metabolism"	10	146	27	64	22	16	23	27	12	8	21	20	6	26	12	35	87	47	52	93	106	27	8	48	78	61	18	61	41	83	60	18
"Secondary Metabolite Biosynthesis"	8763	7867	3024	2771	3863	3695	3940	5634	3980	1829	2781	3810	5718	3101	2486	5389	8943	7139	8274	7023	6704	2853	3598	4011	7469	7103	3447	6313	4831	3285	2748	2881
"Glutathione and Other Response to Oxidative Stress"	6183	4457	1997	1620	1070	1081	1275	1684	1407	577	916	1213	2628	1007	950	1954	3906	2758	3154	2266	2195	1566	2156	2586	3271	3149	1617	2901	2744	1905	1700	1933
"Selenocompound Metabolism"	1821	1499	490	487	697	684	696	942	797	308	536	701	1344	608	472	1002	1659	1408	1470	1234	1243	651	677	735	1506	1448	678	1368	854	590	496	546
"Iron Metabolism"	4160	3997	1205	2110	1458	1469	1668	2198	1927	910	1354	1713	3884	1844	1239	2543	4179	3696	4213	3448	3653	1656	1403	1797	3834	3646	1563	3472	2697	1351	1608	1150
"Phosphonate and Phosphinate Metabolism"	2746	1002	771	745	143	182	185	196	262	105	194	298	492	354	266	288	522	451	373	320	362	684	1029	774	481	391	469	492	994	622	860	1376
"Unclassified Metabolism"	1039	787	329	326	303	317	338	419	611	253	376	520	916	448	290	527	909	773	852	1147	1042	399	429	402	987	946	375	927	469	256	312	345
