ASV	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
Zotu2255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	0	0	0	0	0	0	12	0	0	0	0	433	0	0	0	0
Zotu18	0	0	0	1	0	0	0	0	0	0	0	0	0	8187	0	0	30	0
Zotu634	0	22	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu799	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0
Zotu71	0	0	0	0	0	476	1355	570	1577	0	0	0	0	0	0	0	0	0
Zotu908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1722	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
Zotu230	0	33	0	0	0	11	5	175	1	0	0	0	0	0	0	0	0	0
Zotu247	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	73	195	16
Zotu27	0	184	155	256	0	1706	4209	707	5691	0	974	500	0	0	0	0	36	0
Zotu199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	56
Zotu731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
Zotu1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu193	0	53	0	0	0	2	14	129	13	0	0	0	0	12	0	0	143	0
Zotu2155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu216	0	5	0	0	0	0	2	4	7	0	0	0	0	228	0	0	50	0
Zotu279	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	100	0
Zotu289	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	244	0
Zotu483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0
Zotu713	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Zotu738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu92	0	2	0	0	0	0	0	0	0	0	0	0	0	267	0	0	857	13
